1471846	1473382	+
1473658	1476795	+
1476899	1477013	+
10887	10960	+
11112	11184	+
25644	25726	+
658109	658189	+
731494	731566	+
731603	731676	+
733524	733596	+
923999	924072	+
924110	924183	+
924213	924286	+
1113511	1113583	+
1177396	1177469	+
1512728	1512811	+
1946613	1946686	+
2401987	2402072	+
2765541	2765611	+
2794176	2794249	+
2827854	2827926	+
2835494	2835566	+
2969753	2969825	+
2969855	2969925	+
2969942	2970013	+
4126541	4126614	+
4168345	4168430	+
2485273	2485323	+
645467	645517	+
469591	469641	+
1776702	1776752	+
3908072	3908122	+
1967705	1967755	+
677710	677760	+
2851091	2851141	+
363252	363302	+
2808083	2808133	+
289104	289154	+
2925492	2925542	+
3183138	3183188	+
716410	716460	+
2868606	2868656	+
718025	718075	+
1384278	1384328	+
1500661	1500711	+
2930070	2930120	+
840947	840997	+
3177537	3177587	+
4034057	4034107	+
2097348	2097398	+
1353157	1353207	+
1659370	1659420	+
398254	398304	+
978934	978984	+
951183	951233	+
731930	731980	+
2096877	2096927	+
1762947	1762997	+
1172386	1172436	+
1747195	1747245	+
193117	193167	+
4196724	4196774	+
2898806	2898856	+
2000074	2000124	+
3150171	3150221	+
1027104	1027154	+
2150364	2150414	+
1742244	1742294	+
3591646	3591696	+
1348719	1348769	+
2069080	2069130	+
2322552	2322602	+
1067561	1067611	+
2456901	2456951	+
2231026	2231076	+
236550	236600	+
388582	388632	+
3053233	3053283	+
2484584	2484634	+
2827157	2827207	+
684410	684460	+
519600	519650	+
1286595	1286645	+
3339118	3339168	+
1008207	1008257	+
4393449	4393499	+
2599988	2600038	+
214969	215019	+
4285973	4286023	+
1915949	1915999	+
3804865	3804915	+
1673440	1673490	+
3599851	3599901	+
851608	851658	+
2470622	2470672	+
769792	769842	+
2573015	2573065	+
166910	166960	+
3308668	3308718	+
1506755	1506805	+
377113	377163	+
4218849	4218899	+
3304441	3304491	+
2986839	2986889	+
1041264	1041314	+
934720	934770	+
1592639	1592689	+
1281429	1281479	+
1484982	1485032	+
3664928	3664978	+
873343	873393	+
160869	160919	+
578426	578476	+
3880907	3880957	+
1364413	1364463	+
1582166	1582216	+
1351191	1351241	+
1210595	1210645	+
2516787	2516837	+
2995115	2995165	+
1333931	1333981	+
3881837	3881887	+
490783	490833	+
1300304	1300354	+
1231301	1231351	+
2230011	2230061	+
3014173	3014223	+
1221959	1222009	+
80624	80674	+
2882290	2882340	+
4186634	4186684	+
2532245	2532295	+
1731373	1731423	+
2321451	2321501	+
2945330	2945380	+
652771	652821	+
4305757	4305807	+
1733610	1733660	+
340998	341048	+
2477190	2477240	+
1238255	1238305	+
32057	32107	+
894631	894681	+
808746	808796	+
1921542	1921592	+
2372630	2372680	+
454421	454471	+
287186	287236	+
3594468	3594518	+
4156981	4157031	+
2002626	2002676	+
262812	262862	+
2159191	2159241	+
4195440	4195490	+
2575809	2575859	+
437518	437568	+
1775392	1775442	+
1763428	1763478	+
2556145	2556195	+
3603377	3603427	+
2128022	2128072	+
821507	821557	+
379172	379222	+
614835	614885	+
552614	552664	+
3786314	3786364	+
1816189	1816239	+
2107736	2107786	+
2565327	2565377	+
579349	579399	+
1410431	1410481	+
2515304	2515354	+
1972138	1972188	+
3448504	3448554	+
1470321	1470371	+
1807903	1807953	+
2115764	2115814	+
1201717	1201767	+
3662062	3662112	+
771484	771534	+
1446379	1446429	+
3015203	3015253	+
2064799	2064849	+
3769111	3769161	+
4217134	4217184	+
778990	779040	+
3283335	3283385	+
1279655	1279705	+
4091841	4091891	+
3346147	3346197	+
1729502	1729552	+
3364709	3364759	+
1594042	1594092	+
1617837	1617887	+
3955550	3955600	+
1294168	1294218	+
4224985	4225035	+
258913	258963	+
3509654	3509704	+
2313125	2313175	+
1236185	1236235	+
155667	155717	+
4306867	4306917	+
2557473	2557523	+
1046136	1046186	+
3436779	3436829	+
3986844	3986894	+
2386293	2386343	+
1687941	1687991	+
2824678	2824728	+
1828180	1828230	+
4121916	4121966	+
190607	190657	+
4214615	4214665	+
2177087	2177137	+
3029172	3029222	+
2378386	2378436	+
1282306	1282356	+
2144940	2144990	+
2690072	2690122	+
3547618	3547668	+
1117185	1117235	+
1830665	1830715	+
3691141	3691191	+
4107792	4107842	+
4182934	4182984	+
3831726	3831776	+
2464997	2465047	+
3059262	3059312	+
3808461	3808511	+
4243233	4243283	+
4137206	4137256	+
3347982	3348032	+
3305279	3305329	+
1345260	1345310	+
2109544	2109594	+
2478338	2478388	+
3538505	3538555	+
2179673	2179723	+
864586	864636	+
3196431	3196481	+
2393411	2393461	+
2569082	2569132	+
3371815	3371865	+
2860452	2860502	+
2183372	2183422	+
2326944	2326994	+
479789	479839	+
2768986	2769036	+
1224385	1224435	+
2990706	2990756	+
4314178	4314228	+
1257325	1257375	+
117714	117764	+
3459116	3459166	+
4062527	4062577	+
1599658	1599708	+
2437941	2437991	+
243384	243434	+
324567	324617	+
4299812	4299862	+
3698121	3698171	+
1494564	1494614	+
455977	456027	+
2719597	2719647	+
1531348	1531398	+
3818042	3818092	+
1487161	1487211	+
2644320	2644370	+
3218339	3218389	+
4099647	4099697	+
1355836	1355886	+
43562	43612	+
3571335	3571385	+
3464547	3464597	+
532396	532446	+
14914	14964	+
3096959	3097009	+
4142044	4142094	+
2623821	2623871	+
442395	442445	+
3137271	3137321	+
2837684	2837734	+
1619791	1619841	+
2291269	2291319	+
2079830	2079880	+
3694052	3694102	+
1177206	1177256	+
3431293	3431343	+
1127029	1127079	+
1130155	1130205	+
1138249	1138299	+
1220538	1220588	+
132915	132965	+
1576747	1576797	+
1799565	1799615	+
1837012	1837062	+
1923748	1923798	+
2113068	2113118	+
2123666	2123716	+
2263390	2263440	+
2432909	2432959	+
2525372	2525422	+
2698415	2698465	+
2703236	2703286	+
2996003	2996053	+
3025432	3025482	+
3031788	3031838	+
3363309	3363359	+
3405121	3405171	+
3633639	3633689	+
3639341	3639391	+
3714308	3714358	+
415044	415094	+
4161012	4161062	+
4178249	4178299	+
4200355	4200405	+
4205487	4205537	+
4274756	4274806	+
52810	52860	+
551710	551760	+
566484	566534	+
586346	586396	+
631719	631769	+
878620	878670	+
895781	895831	+
944328	944378	+
3095128	3095178	+
1010155	1010205	+
3717118	3717168	+
1177443	1177493	+
1753565	1753615	+
4130445	4130495	+
1411992	1412042	+
2561476	2561526	+
1078545	1078595	+
3095289	3095339	+
2733441	2733491	+
3115285	3115335	+
288729	288779	+
586720	586770	+
648864	648914	+
654258	654308	+
4310811	4310861	+
831378	831428	+
3834	3884	+
1457124	1457174	+
1564978	1565028	+
4174165	4174215	+
196305	196355	+
4350218	4350268	+
2500923	2500973	+
2002618	2002668	+
258903	258953	+
669837	669887	+
869997	870047	+
2822427	2822477	+
27579	27629	+
4069158	4069208	+
1077954	1078004	+
4012395	4012445	+
1424172	1424222	+
2231652	2231702	+
4030458	4030508	+
29685	29735	+
2596296	2596346	+
860869	860919	+
1915484	1915534	+
2655221	2655271	+
1745018	1745068	+
1386810	1386860	+
2545285	2545335	+
2401939	2401989	+
1354193	1354243	+
809895	809945	+
221819	221869	+
2835437	2835487	+
387083	387133	+
1267276	1267326	+
3903005	3903055	+
2509415	2509465	+
1302855	1302905	+
2006560	2006610	+
4273660	4273710	+
4314099	4314149	+
2104903	2104953	+
2344328	2344378	+
1187351	1187401	+
3503301	3503351	+
1947760	1947810	+
4234677	4234727	+
3196325	3196375	+
1123602	1123652	+
3580526	3580576	+
2760741	2760791	+
4153620	4153670	+
1269936	1269986	+
1907466	1907516	+
4338714	4338764	+
3893958	3894008	+
221733	221783	+
167572	167622	+
573837	573887	+
596610	596660	+
2025143	2025193	+
3777577	3777627	+
798673	798723	+
2954880	2954930	+
781377	781427	+
2684487	2684537	+
2219559	2219609	+
4185889	4185939	+
2641033	2641083	+
1073327	1073377	+
710782	710832	+
3325702	3325752	+
2684429	2684479	+
4411270	4411320	+
2608526	2608576	+
